City_ID,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
168,Coyhaique,-45.5752,-72.0662,34.32,98,53,4.68,CL,1660208494
169,Nioki,-2.7167,17.6833,92.25,29,60,6.13,CD,1660208495
170,Brae,60.3964,-1.353,54.55,97,100,7.14,GB,1660208496
171,Vung Tau,10.346,107.0843,83.08,76,100,9.64,VN,1660208497
172,Sabinópolis,-18.6661,-43.0839,52.86,58,99,4.72,BR,1660208498
173,Horizonte,-4.1,-38.4833,74.61,94,71,3.96,BR,1660208499
174,Provideniya,64.3833,-173.3,54.9,84,11,2.8,RU,1660208500
175,Rabaul,-4.1967,152.1721,80.92,79,99,7.16,PG,1660208501
176,Flinders,-34.5833,150.8552,60.19,71,100,4.0,AU,1660208502
177,Bikin,46.8161,134.26,68.65,91,84,3.58,RU,1660208503
178,Saldanha,-33.0117,17.9442,59.49,78,100,7.38,ZA,1660208504
179,Kruisfontein,-34.0033,24.7314,62.89,64,100,3.67,ZA,1660208505
180,Kavieng,-2.5744,150.7967,81.68,77,96,8.37,PG,1660208506
181,Hambantota,6.1241,81.1185,93.54,49,20,19.57,LK,1660208229
182,Edson,53.5835,-116.4356,57.63,94,7,1.68,CA,1660208508
183,Gouré,13.9835,10.2704,86.86,46,100,13.02,NE,1660208509
184,Riohacha,11.5444,-72.9072,80.02,83,99,8.88,CO,1660208509
185,Gaoual,11.75,-13.2,78.94,89,69,2.48,GN,1660208510
186,Liverpool,53.4106,-2.9779,79.29,67,0,4.61,GB,1660208081
187,Ulladulla,-35.35,150.4667,56.8,69,100,9.91,AU,1660208512
188,Shebunino,46.4339,141.8603,69.39,88,61,9.31,RU,1660208513
189,Manavālakurichi,8.1333,77.3,84.33,69,99,18.54,IN,1660208514
190,Sola,-13.8833,167.55,78.01,77,89,29.19,VU,1660208515
191,Nova Serrana,-19.8761,-44.9836,46.94,68,50,3.36,BR,1660208515
192,Codrington,-38.2667,141.9667,48.79,77,92,6.93,AU,1660208516
193,Le Pradet,43.1066,6.0172,86.59,57,0,11.5,FR,1660208517
194,Nanortalik,60.1432,-45.2371,44.4,99,100,2.57,GL,1660208518
195,Tubigan,8.5322,124.3122,84.88,68,36,5.1,PH,1660208519
196,Itagibá,-14.2836,-39.8428,57.9,90,29,1.79,BR,1660208520
197,Udachny,66.4167,112.4,50.61,90,100,15.08,RU,1660208521
198,Dalby,-27.1833,151.2667,58.98,61,87,1.01,AU,1660208522
199,Bachatskiy,54.2927,86.1285,79.9,49,51,4.9,RU,1660208523
200,Ponta do Sol,32.6667,-17.1,74.71,68,22,1.41,PT,1660208524
201,Vao,-22.6667,167.4833,68.59,59,0,20.38,NC,1660208585
202,Miyata,33.7167,130.6667,91.02,72,100,8.68,JP,1660208586
203,Witu,-2.3889,40.4382,80.76,59,58,16.96,KE,1660208587
204,Kuching,1.55,110.3333,91.62,62,40,3.44,MY,1660208588
205,Havelock,34.8791,-76.9013,82.38,92,30,8.61,US,1660208589
206,San Cristobal,7.7669,-72.225,63.32,90,98,3.42,VE,1660208591
207,Lyubech,51.7026,30.6569,74.03,59,99,12.41,UA,1660208592
208,Sittwe,20.15,92.9,80.62,84,99,7.85,MM,1660208593
209,Hāgere Hiywet,8.9833,37.85,63.55,85,100,5.1,ET,1660208594
210,Sabang,5.8933,95.3214,83.35,72,57,18.88,ID,1660208595
211,Mitsamiouli,-11.3847,43.2844,77.36,68,8,5.06,KM,1660208596
212,Mago,53.2514,140.1822,63.39,88,90,3.31,RU,1660208597
213,Ilulissat,69.2167,-51.1,41.02,87,75,0.0,GL,1660208597
214,Changde,29.0464,111.6783,101.01,41,86,7.85,CN,1660208421
215,Coahuayana Viejo,18.7333,-103.6833,76.84,87,100,2.98,MX,1660208599
216,Inverness,57.4791,-4.224,67.78,70,20,6.91,GB,1660208413
217,Altay,47.8667,88.1167,86.92,20,3,14.43,CN,1660208601
218,Cerea,45.1921,11.2103,83.93,41,36,11.16,IT,1660208602
219,Alofi,-19.0595,-169.9187,77.45,71,10,13.91,NU,1660208602
220,Wanxian,30.8039,108.3897,99.7,46,91,1.12,CN,1660208603
221,Kaeo,-35.1,173.7833,50.32,83,28,7.09,NZ,1660208604
222,Jonesboro,35.8423,-90.7043,73.09,94,6,5.99,US,1660208402
223,Kalmunai,7.4167,81.8167,93.34,45,90,3.89,LK,1660208606
224,Yar-Sale,66.8333,70.8333,63.9,44,100,11.99,RU,1660208607
225,Biscarrosse,44.3945,-1.1672,84.15,34,0,4.61,FR,1660208607
226,Beloha,-25.1667,45.05,81.63,25,0,11.54,MG,1660208609
227,Ust-Maya,60.4167,134.5333,65.1,66,100,3.62,RU,1660208610
228,Chokurdakh,70.6333,147.9167,57.67,70,100,11.41,RU,1660208611
229,Cockburn Town,21.4612,-71.1419,81.5,74,12,16.24,TC,1660208612
230,Imbituba,-28.24,-48.6703,56.08,94,36,5.99,BR,1660208613
231,Panzhihua,26.5851,101.7128,92.41,43,90,1.77,CN,1660208614
232,Tigil',57.8,158.6667,57.81,94,100,5.3,RU,1660208615
233,Touba,8.2833,-7.6833,73.53,89,92,7.23,CI,1660208616
234,Nikolskoye,59.7035,30.7861,74.88,41,99,10.47,RU,1660208616
235,Calabozo,8.9242,-67.4293,70.16,97,100,2.39,VE,1660208617
236,Baracoa,20.3467,-74.4958,78.13,86,56,8.14,CU,1660208618
237,Nakhon Nayok,14.1667,101.1,79.18,87,100,3.89,TH,1660208619
238,Saint-Philippe,-21.3585,55.7679,74.79,75,78,14.27,RE,1660208620
239,Port Lincoln,-34.7333,135.8667,54.45,79,19,18.79,AU,1660208621
240,Rojhan,28.6868,69.9534,104.16,33,100,13.65,PK,1660208622
241,Thinadhoo,0.5333,72.9333,82.62,76,23,8.72,MV,1660208623
242,Namwala,-15.7504,26.4384,77.94,26,0,7.29,ZM,1660208624
243,Kolosovka,56.4678,73.611,79.05,54,28,7.43,RU,1660208625
244,Houma,29.5958,-90.7195,76.01,94,100,6.91,US,1660208626
245,Cherskiy,68.75,161.3,62.87,54,100,7.14,RU,1660208627
246,Iqaluit,63.7506,-68.5145,40.69,86,12,3.0,CA,1660208479
247,Margate,51.3813,1.3862,77.31,80,5,1.99,GB,1660208629
